Time,$F_1$ Hz,$F_2$ Hz,$F_3$ Hz,$F_4$ Hz
0.00,187.13,735.41,1840.91,2923.55
0.02,199.93,640.85,1783.54,2909.98
0.04,208.56,679.34,1947.53,3095.68
0.06,308.63,1731.04,3038.28,3434.92
0.08,468.05,1633.86,2976.16,3543.13
0.10,515.25,1386.34,2920.32,3789.28
0.12,531.65,1206.70,2907.87,3782.18
0.14,535.80,1111.19,2938.47,3730.53
0.16,540.88,1150.62,2909.00,3745.76
0.18,524.20,1227.30,2845.50,3760.99
0.20,486.81,1307.88,2754.43,3766.51
0.22,466.05,1520.45,2707.38,3777.33
0.24,479.58,1997.24,2658.23,3797.71
0.26,475.20,2245.22,2701.83,3820.43
0.28,451.89,2279.80,2838.13,3838.63
0.30,428.37,2306.08,2893.53,3884.25
0.32,410.37,2350.00,2932.86,3894.82
0.34,379.65,2374.36,2993.90,3900.67
0.36,362.91,2472.55,2995.21,3975.63
0.38,350.22,2455.72,2992.44,4055.83
0.40,358.40,2367.09,2938.43,4119.43
0.42,370.27,2281.11,2900.42,4179.20
0.44,371.15,2190.59,2890.91,4203.89
0.46,345.23,2008.37,2814.51,4226.80